numba_no_vectorisation.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.131530 s
         8144851 function calls (7779133 primitive calls) in 6.809 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      710    0.006    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      246    0.006    0.000    0.007    0.000 templates.py:1166(make_overload_attribute_template)
    10494    0.006    0.000    0.011    0.000 enum.py:726(__call__)
 1318/244    0.006    0.000    0.014    0.000 _compiler.py:37(_compile)
     3534    0.006    0.000    0.026    0.000 base.py:103(_match_arglist)
     1856    0.006    0.000    0.007    0.000 functions.py:245(__init__)
   100/17    0.006    0.000    4.119    0.242 typeinfer.py:147(propagate)
     2784    0.006    0.000    0.011    0.000 analysis.py:66(fix_point_progress)
    24183    0.006    0.000    0.006    0.000 {method 'release' of '_thread.RLock' objects}
     4409    0.006    0.000    0.013    0.000 artist.py:1549(aliased_name)
      755    0.006    0.000    0.040    0.000 values.py:936(__init__)
      120    0.006    0.000    0.211    0.002 artist.py:1593(pprint_setters)
 1278/487    0.006    0.000    1.220    0.003 <frozen importlib._bootstrap>:1349(_find_and_load)
     1493    0.006    0.000    0.016    0.000 interpreter.py:1839(store)
8109/8100    0.006    0.000    0.027    0.000 context.py:540(can_convert)
     2341    0.006    0.000    0.027    0.000 builder.py:756(load)
     1036    0.006    0.000    0.019    0.000 instructions.py:133(_descr)
     1476    0.006    0.000    0.019    0.000 ir.py:592(__repr__)
    21813    0.006    0.000    0.006    0.000 {method 'insert' of 'list' objects}
    11736    0.006    0.000    0.016    0.000 types.py:33(__ne__)
     4043    0.006    0.000    0.021    0.000 abstract.py:49(_intern)
      824    0.005    0.000    0.066    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     2069    0.005    0.000    0.132    0.000 context.py:360(_call_incref_decref)
     3775    0.005    0.000    0.075    0.000 value.py:157(name)
    11027    0.005    0.000    0.008    0.000 ir.py:387(__getattr__)
3295/2087    0.005    0.000    0.354    0.000 functools.py:979(__get__)
      808    0.005    0.000    0.009    0.000 typeinfer.py:496(fold_arg_vars)
     5580    0.005    0.000    0.006    0.000 values.py:860(__init__)
       48    0.005    0.000    0.045    0.001 lowering.py:371(_find_singly_assigned_variable)
    20983    0.005    0.000    0.005    0.000 controlflow.py:118(successors)
       46    0.005    0.000    0.026    0.001 castgraph.py:92(propagate)
  764/329    0.005    0.000    3.566    0.011 templates.py:705(_get_impl)
      189    0.005    0.000    0.037    0.000 inline_closurecall.py:1477(_inline_const_arraycall)
     1352    0.005    0.000    0.010    0.000 byteflow.py:144(_run_handle_exception)
      780    0.005    0.000    0.058    0.000 cgutils.py:362(alloca_once)
       96    0.005    0.000    0.171    0.002 registry.py:54(apply)
    22633    0.005    0.000    0.023    0.000 ffi.py:139(__getattr__)
    28039    0.005    0.000    0.005    0.000 builder.py:195(block)
     2260    0.005    0.000    0.011    0.000 numpy_support.py:148(as_dtype)
10265/10146    0.005    0.000    0.051    0.000 manager.py:29(lookup)
       83    0.005    0.000    0.181    0.002 codegen.py:651(_optimize_functions)
