numpy_vectorised_get_order.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.321, Time: 3.492857 s
         1539123 function calls (1523651 primitive calls) in 4.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1462    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
     6284    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      469    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
     3026    0.001    0.000    0.002    0.000 inspect.py:3045(<genexpr>)
      702    0.001    0.000    0.002    0.000 inspect.py:175(get_annotations)
      779    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
       51    0.001    0.000    0.002    0.000 linalg.py:1090(eigvalsh)
      364    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      420    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      349    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
1491/1321    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
     5671    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
      798    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      976    0.001    0.000    0.022    0.000 __init__.py:715(__setitem__)
      210    0.001    0.000    0.047    0.000 _compiler.py:740(compile)
     2690    0.001    0.000    0.002    0.000 _parser.py:176(append)
      303    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       38    0.001    0.000    0.010    0.000 enum.py:528(__new__)
       51    0.001    0.000    0.001    0.000 numeric.py:67(zeros_like)
     3496    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
   306/12    0.001    0.000    0.006    0.001 core.py:810(_parseNoCache)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      606    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      210    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
       94    0.001    0.000    0.016    0.000 __init__.py:1399(_preprocess_data)
 3121/738    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
      214    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
     2432    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
   459/74    0.001    0.000    0.747    0.010 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      374    0.001    0.000    0.003    0.000 typing.py:723(<genexpr>)
      351    0.001    0.000    0.004    0.000 inspect.py:794(_finddoc)
      169    0.001    0.000    0.003    0.000 colors.py:322(_to_rgba_no_colorcycle)
    882/7    0.001    0.000    0.858    0.123 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4660    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      245    0.001    0.000    0.001    0.000 core.py:462(__init__)
      210    0.001    0.000    0.028    0.000 _parser.py:969(parse)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     1780    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
    303/4    0.001    0.000    0.859    0.215 <frozen importlib._bootstrap_external>:989(exec_module)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
       16    0.001    0.000    0.001    0.000 rcsetup.py:96(_listify_validator)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
     1278    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     2469    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      447    0.001    0.000    0.018    0.000 artist.py:1536(number_of_parameters)
       30    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
  354/350    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     5581    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      616    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      705    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      102    0.001    0.000    0.339    0.003 artist.py:126(__init_subclass__)
     2754    0.001    0.000    0.001    0.000 _parser.py:256(match)
     1536    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     7413    0.001    0.000    0.001    0.000 inspect.py:2765(name)
     2716    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      219    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      909    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1883    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      438    0.001    0.000    0.005    0.000 colors.py:275(to_rgba)
     2460    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
      351    0.001    0.000    0.002    0.000 inspect.py:784(_findclass)
      456    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      693    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      714    0.001    0.000    0.035    0.000 inspect.py:3050(from_callable)
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     2686    0.001    0.000    0.001    0.000 util.py:200(__call__)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
       16    0.001    0.000    0.005    0.000 typing.py:2780(__new__)
      970    0.001    0.000    0.015    0.000 artist.py:1542(is_alias)
     1478    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      461    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
      714    0.001    0.000    0.036    0.000 inspect.py:3308(signature)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
      218    0.001    0.000    0.089    0.000 artist.py:1419(__init__)
      461    0.001    0.000    0.005    0.000 core.py:523(copy)
     2740    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      349    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      429    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        7    0.001    0.000    0.004    0.001 enum.py:919(_convert_)
     6225    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
      349    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
