numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.377, Time: 0.029685 s
         1743071 function calls (1714811 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6792    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     6455    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     4015    0.002    0.000    0.002    0.000 inspect.py:3045(<genexpr>)
     8228    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
   718/46    0.002    0.000    1.245    0.027 <frozen importlib._bootstrap_external>:989(exec_module)
3307/3127    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
        3    0.002    0.001    0.007    0.002 parallel.py:379(_launch_threads)
       61    0.002    0.000    0.014    0.000 enum.py:528(__new__)
  556/244    0.002    0.000    0.032    0.000 _parser.py:452(_parse_sub)
     1087    0.002    0.000    0.002    0.000 extending.py:62(overload)
     4300    0.002    0.000    0.004    0.000 {built-in method builtins.issubclass}
     3192    0.002    0.000    0.002    0.000 _parser.py:176(append)
      987    0.002    0.000    0.003    0.000 inspect.py:747(unwrap)
     1565    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
     4268    0.002    0.000    0.003    0.000 event.py:66(_guard_kind)
     2154    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  809/804    0.002    0.000    0.068    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     4256    0.002    0.000    0.004    0.000 event.py:100(__init__)
4006/3756    0.002    0.000    0.002    0.000 abstract.py:124(__eq__)
      889    0.002    0.000    0.003    0.000 inspect.py:175(get_annotations)
     1619    0.002    0.000    0.003    0.000 typing.py:1188(__setattr__)
      718    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      249    0.002    0.000    0.029    0.000 context.py:723(load_additional_registries)
     7972    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      521    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
      802    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     3121    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     7538    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1992    0.001    0.000    0.006    0.000 base.py:368(insert_func_defn)
4364/2118    0.001    0.000    0.006    0.000 <frozen abc>:121(__subclasscheck__)
      626    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1577    0.001    0.000    0.003    0.000 context.py:492(_insert_global)
     1878    0.001    0.000    0.009    0.000 ffi.py:77(__enter__)
      488    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
     5536    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       24    0.001    0.000    0.003    0.000 util.py:209(_collapse_string_to_ranges)
     1228    0.001    0.000    0.002    0.000 context.py:524(insert_function)
     1878    0.001    0.000    0.010    0.000 ffi.py:83(__exit__)
     1565    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
   654/71    0.001    0.000    1.161    0.016 {built-in method builtins.__import__}
     3121    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
1390/1257    0.001    0.000    0.002    0.000 {method 'format' of 'str' objects}
      244    0.001    0.000    0.054    0.000 _compiler.py:740(compile)
      802    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      667    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        3    0.001    0.000    0.040    0.013 core.py:1(<module>)
     5748    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     5748    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1590    0.001    0.000    0.001    0.000 utils.py:445(__setitem__)
      244    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
  128/117    0.001    0.000    0.046    0.000 _docstring.py:122(__call__)
4550/1002    0.001    0.000    0.001    0.000 __init__.py:354(recursive_subclasses)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
     1535    0.001    0.000    0.002    0.000 templates.py:1258(register_global)
      836    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      238    0.001    0.000    0.007    0.000 typing.py:1242(__init__)
     1016    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     1535    0.001    0.000    0.001    0.000 context.py:478(_lookup_global)
      718    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     2872    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1565    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     3347    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      239    0.001    0.000    0.021    0.000 extending.py:207(decorate)
      445    0.001    0.000    0.004    0.000 copy.py:61(copy)
      719    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1815    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
      977    0.001    0.000    0.020    0.000 __init__.py:748(__setitem__)
  719/713    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1161    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     3171    0.001    0.000    0.002    0.000 abstract.py:127(__ne__)
     1950    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
      836    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      846    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:416(__enter__)
       25    0.001    0.000    0.007    0.000 typing.py:2780(__new__)
      239    0.001    0.000    0.076    0.000 templates.py:1100(_init_once)
   306/12    0.001    0.000    0.007    0.001 core.py:806(_parseNoCache)
     3347    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       64    0.001    0.000    0.007    0.000 deprecation.py:414(make_keyword_only)
       94    0.001    0.000    0.014    0.000 __init__.py:1447(_preprocess_data)
     1810    0.001    0.000    0.001    0.000 event.py:270(on_end)
     1228    0.001    0.000    0.003    0.000 templates.py:1248(register)
      246    0.001    0.000    0.074    0.000 templates.py:907(_get_target_registry)
     9751    0.001    0.000    0.001    0.000 inspect.py:2765(name)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
     3182    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      195    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
