cython_numpy_vec_run.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.352, Time: 0.107917 s
         1068873 function calls (1053401 primitive calls) in 0.869 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 cm.py:32(_gen_cmap_registry)
      779    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      190    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
  722/560    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
    45/12    0.000    0.000    0.003    0.000 typing.py:1267(__getitem__)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
      170    0.000    0.000    0.000    0.000 colors.py:783(__copy__)
       39    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:809(copy)
       58    0.000    0.000    0.002    0.000 core.py:3143(parseImpl)
     30/4    0.000    0.000    0.001    0.000 core.py:3924(streamline)
      420    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      125    0.000    0.000    0.001    0.000 inspect.py:3066(replace)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:1(<module>)
     1879    0.000    0.000    0.000    0.000 __init__.py:851(<lambda>)
        1    0.000    0.000    0.008    0.008 common.py:8(pyparsing_common)
  386/304    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      389    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      728    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
