numpy_vec_get_order_all_energy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 2.359681 s
         1319004 function calls (1303532 primitive calls) in 3.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4660    0.001    0.000    0.001    0.000 artist.py:1563(<genexpr>)
    882/7    0.001    0.000    0.894    0.128 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       16    0.001    0.000    0.001    0.000 rcsetup.py:96(_listify_validator)
      245    0.001    0.000    0.001    0.000 core.py:462(__init__)
    303/4    0.001    0.000    0.895    0.224 <frozen importlib._bootstrap_external>:989(exec_module)
      273    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      210    0.001    0.000    0.029    0.000 _parser.py:969(parse)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
     1780    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
     2469    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      102    0.001    0.000    0.351    0.003 artist.py:126(__init_subclass__)
     1278    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       30    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
      447    0.001    0.000    0.019    0.000 artist.py:1536(number_of_parameters)
     5581    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2716    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1536    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     7413    0.001    0.000    0.001    0.000 inspect.py:2765(name)
     2754    0.001    0.000    0.001    0.000 _parser.py:256(match)
      219    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      616    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     2460    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
  354/350    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      705    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      693    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     1883    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      909    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      218    0.001    0.000    0.093    0.000 artist.py:1419(__init__)
      351    0.001    0.000    0.002    0.000 inspect.py:784(_findclass)
      714    0.001    0.000    0.037    0.000 inspect.py:3050(from_callable)
      438    0.001    0.000    0.005    0.000 colors.py:275(to_rgba)
      456    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      714    0.001    0.000    0.037    0.000 inspect.py:3308(signature)
     2686    0.001    0.000    0.001    0.000 util.py:200(__call__)
     1478    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      970    0.001    0.000    0.015    0.000 artist.py:1542(is_alias)
      151    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
      461    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       16    0.001    0.000    0.005    0.000 typing.py:2780(__new__)
      461    0.001    0.000    0.005    0.000 core.py:523(copy)
     2740    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      349    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      429    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      114    0.001    0.000    0.275    0.002 artist.py:1837(kwdoc)
        7    0.001    0.000    0.004    0.001 enum.py:919(_convert_)
     6225    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
     1481    0.001    0.000    0.001    0.000 _parser.py:293(tell)
   437/16    0.001    0.000    0.833    0.052 {built-in method builtins.__import__}
     1294    0.001    0.000    0.001    0.000 __init__.py:674(_set)
       51    0.001    0.000    0.001    0.000 numeric.py:67(zeros_like)
      409    0.001    0.000    0.006    0.000 rcsetup.py:332(validate_color)
     2630    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2630    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1816    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
      119    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      349    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      585    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
     1235    0.001    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      111    0.001    0.000    0.006    0.000 rcsetup.py:99(f)
      204    0.001    0.000    0.001    0.000 numeric.py:1330(normalize_axis_tuple)
     1212    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       32    0.001    0.000    0.005    0.000 colors.py:1048(from_list)
  306/239    0.001    0.000    0.016    0.000 typing.py:392(inner)
      210    0.001    0.000    0.017    0.000 _compiler.py:573(_code)
      708    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      461    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
   256/18    0.001    0.000    0.002    0.000 ast.py:409(generic_visit)
